User Name,Sex,Comments,Likes,Replies
雅琴惆喻,女,分享一个今天非常不开心的事。八月底找了份兼职，然后干完中秋辞了，当时是面谈的时薪啥的，我是真后悔没录音啊，它当时说节假日时薪*2，结果现在结算不认。首先，它没说节假日时薪*2，它把大学生当牛马，它🗡️；其次，它翻脸说没有节假日时薪*2，它更恶。因为是兼职没有签合同什么的，我真的感觉自己是怨种，中秋前两天真的巨累，人暴多，店铺一天营业额到了1w，讲真，我都不知道该是该庆幸提前跑了，不然哼次哼次的干完国庆得知，节假日不*2才是真绝望。唉，有懂的朋友也可以支支招，能不能倒打一耙，它那边也没有证据能证明时薪16/1，和节假日无二薪。我是真的气啊[笑哭]唉[大哭],10,
北酥在线吸欧气,保密,老师老师我是你素未谋面的亲学生啊老师[来古-震撼],44,
想和薯饼结婚,保密,老师两个硬币送给你🖐️🖐️我真的需要这门课🥲高中的时候所有人都说“你只要好好读书就行了，书读好了比什么都强”，但是到了大学就是“都大学生了怎么还是什么都不会”而且每次遇到不会的事情问家人都是被这样说。可是真的没有人和我详细讲过啊，我自己偷偷查手机翻遍各种软件最后还一直担心万一现实有变和网上说的情况不一样的时候真的非常想哭😭,27,
preference06,保密,哇，真的很需要，想看网课！,12,
YuSue末,保密,真的超级需要，很多日常生活常识真的不懂，自己摸索询问时，总会被嘲讽连这个也是不会，真的太难了,13,
野渡__spt-jiang,女,老师开个慕课吧[大哭],7,
当个屁py,女,这才是好老师啊，这下不得不关注了…，这才是切实的了解到学生需求的老师，我有一通识课，我们老师嘴上说的是教我们如何应对职场，提高自己的核心竞争力，实际做的事让我们自己写ppt做pre…,8,
自信可爱鲨,男,支持，我觉得这个很好，希望能有网课,9,
不给听不懂人话的支教,女,这种课非常非常需要实践分享，多去了几次医院，就比较习惯挂号看病了。大家经验不一样，真的需要社会学堂（各种社媒）,7,
-君莫离_,男,真得有这门课，今年毕业出来当实习生，五险一金公司交的，我都不知道具体五险一金是啥，医保社保以前也是爸妈搞的，现在都得自己弄,8,
comeon2002,男,强烈要求推选为国家精品课程！！！！（比垃圾水课强万倍！）,12,
莜夙,保密,很需要，有网课更好[Hiiro_害羞]对我们这些快要毕业的绝对有帮助（蹲一下）[tv_点赞],8,
青音诤,女,好感人啊[大哭]快毕业了，好多东西都是吃过亏后摸爬滚打才知道的，每件事情看似不同，实际上基本的底层逻辑是相似的，授人以鱼不如授人以渔，比如生活中多观察多尝试，医院、车站什么看指示牌，问路人什么的。,6,
海天音生,保密,我非常需要这门课！,15,
Karroy-Eternal,保密,太需要呜呜，有时候去个地方完全就是一团糟，啥也不懂还要被人家工作人员嫌烦[大哭],16,
玉米撒嘛漫游地球,女,求网课上架[doge],23,
卖萝卜的大姐,保密,比如怎么使用打印机！，这些视频都可以分成不同的小视频，也可以帮到线上同学学习,6,
巴扎黑到处跑,男,最重要的一点：要安装什么软件先去搜一搜有没有官方网站，直接从官网那里下载,5,
深深深深的快递,女,我需要啊老师[大哭],11,
未名市小笨蛋,保密,老师！求网课！！！！,10,
MacaronBTS,保密,开网课！！！！！,15,
焦糖味布丁大佬,保密,卧槽 我要蹲网课！,12,
清水麻衣,女,我太需要这门网课了[打call][打call],9,
芫荽狂魔王二木,保密,开个慕课吧[大哭],11,
入世小葵,保密,希望讲交通事故的处理，尤其是和电动车相关的,6,
亓末末末末,保密,上架学习通[跪了]我真的很需要这个,7,
真的真的旺,保密,我觉得这些知识都是一个自然人，应该主动去了解,5,
牢渡-尘Man,保密,小时候听到这些会莫名其妙的恐惧，害怕，但是越长越大突然觉得这种东西要不了多久就来到自己身边了，没有一点预告[笑哭]感觉自己瞬间就要扛起特别大的责任什么什么的[笑哭],7,
高温拒否,保密,网课！开网课吧老师！,9,
李公村的樵夫,保密,真的好想听，跪求网课啊啊(´；ω；`),7,
一包辣条干,女,天哪我太需要了,8,
我一米六三,保密,一人血书跪求网课！,10,
蓝图海因,保密,想看医保社保，还有农村合作医疗保险，市民保险[思考]我对这些医疗保险都不太懂。,6,
阿莹莹kira,保密,[tv_馋]等网课~,6,
dandelions慕夕,保密,附议：啊啊啊我也很需要这门课！现在都快毕业了[委屈]但学校没有相关课程，希望up能bilibili更新课程投稿，希望能帮到更多人[星星眼],140,
